,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,WAP,hasGaps,Count
1,7/23/2018 9:15,9430.80,9430.60,9399.90,9423.30,467,9409.015,0,56
2,7/23/2018 9:16,9420.60,9424.05,9402.45,9424.00,512,9418.435,0,54
3,7/23/2018 9:17,9424.25,9429.00,9416.55,9418.00,412,9422.67,0,47
4,7/23/2018 9:18,9418.20,9429.00,9417.85,9428.00,204,9423.305,0,40
5,7/23/2018 9:19,9428.55,9433.05,9410.10,9416.05,276,9425.33,0,41
6,7/23/2018 9:20,9416.25,9425.00,9414.05,9414.20,125,9417.745,0,32
7,7/23/2018 9:21,9411.80,9413.10,9407.70,9413.05,209,9411.05,0,32
8,7/23/2018 9:22,9416.55,9421.30,9413.20,9418.95,240,9417.675,0,33
9,7/23/2018 9:23,9422.30,9427.35,9421.85,9423.95,95,9424.06,0,22
10,7/23/2018 9:24,9420.95,9428.00,9420.60,9427.95,112,9427.045,0,23
11,7/23/2018 9:25,9428.15,9428.05,9415.05,9422.75,166,9419.755,0,32
12,7/23/2018 9:26,9422.95,9426.00,9414.70,9421.05,150,9422.165,0,30
13,7/23/2018 9:27,9418.50,9423.90,9414.95,9422.40,130,9419.92,0,21
14,7/23/2018 9:28,9422.75,9425.05,9421.10,9425.05,164,9424.22,0,21
15,7/23/2018 9:29,9423.70,9425.40,9421.90,9425.35,199,9423.625,0,22
16,7/23/2018 9:30,9425.25,9425.05,9422.45,9423.95,106,9423.91,0,34
17,7/23/2018 9:31,9424.15,9424.75,9418.80,9420.00,125,9422.83,0,33
18,7/23/2018 9:32,9420.15,9424.05,9416.90,9423.35,132,9421.84,0,36
19,7/23/2018 9:33,9424.15,9438.50,9423.80,9434.85,262,9431.715,0,41
20,7/23/2018 9:34,9432.15,9433.05,9426.05,9431.25,142,9430.985,0,24
21,7/23/2018 9:35,9430.35,9431.05,9422.90,9423.05,164,9424.48,0,30
22,7/23/2018 9:36,9423.25,9424.50,9422.90,9423.55,162,9423.27,0,25
23,7/23/2018 9:37,9423.75,9424.50,9414.90,9415.80,170,9419.945,0,28
24,7/23/2018 9:38,9415.45,9415.25,9399.90,9400.35,245,9407.985,0,46
25,7/23/2018 9:39,9400.55,9400.90,9389.05,9391.05,214,9394.725,0,40
26,7/23/2018 9:40,9389.10,9392.90,9382.45,9389.50,234,9387.385,0,31
27,7/23/2018 9:41,9388.80,9388.60,9379.85,9380.00,176,9381.655,0,39
28,7/23/2018 9:42,9379.25,9380.65,9371.90,9377.05,303,9377,0,34
29,7/23/2018 9:43,9377.75,9390.30,9374.90,9388.15,249,9381.165,0,29
30,7/23/2018 9:44,9388.75,9400.05,9388.40,9400.05,262,9396.565,0,34
31,7/23/2018 9:45,9400.25,9406.05,9394.95,9405.15,196,9398.42,0,28
32,7/23/2018 9:46,9406.25,9408.05,9401.60,9407.15,187,9406.56,0,32
33,7/23/2018 9:47,9407.35,9424.55,9406.95,9417.15,307,9416.485,0,39
34,7/23/2018 9:48,9413.55,9419.00,9409.90,9411.45,288,9415.655,0,26
35,7/23/2018 9:49,9416.90,9425.05,9416.55,9422.10,205,9420.22,0,27
36,7/23/2018 9:50,9421.40,9426.05,9416.55,9421.20,98,9420.695,0,27
37,7/23/2018 9:51,9418.35,9423.00,9416.55,9416.70,318,9419.405,0,30
38,7/23/2018 9:52,9417.20,9421.75,9416.85,9419.60,101,9418.755,0,23
39,7/23/2018 9:53,9418.80,9420.80,9411.55,9414.30,162,9416.735,0,23
40,7/23/2018 9:54,9411.85,9414.05,9409.90,9413.05,115,9411.6,0,24
41,7/23/2018 9:55,9413.25,9413.05,9409.95,9412.05,120,9411.72,0,25
42,7/23/2018 9:56,9410.25,9412.05,9406.90,9409.00,247,9408.31,0,25
43,7/23/2018 9:57,9409.25,9415.05,9408.90,9414.95,130,9413.01,0,26
44,7/23/2018 9:58,9414.65,9422.00,9414.30,9420.15,147,9417.985,0,24
45,7/23/2018 9:59,9421.45,9430.05,9419.65,9430.05,235,9421.79,0,26
46,7/23/2018 10:00,9428.30,9430.05,9419.90,9421.75,424,9422.22,0,31
47,7/23/2018 10:01,9421.50,9421.30,9412.85,9419.05,86,9417.705,0,29
48,7/23/2018 10:02,9419.25,9419.05,9412.85,9415.30,77,9418.01,0,27
49,7/23/2018 10:03,9410.25,9418.00,9409.90,9412.35,123,9411.945,0,26
50,7/23/2018 10:04,9416.05,9420.05,9415.70,9417.75,99,9418.34,0,18
51,7/23/2018 10:05,9420.25,9425.00,9418.20,9424.45,91,9420.15,0,19
52,7/23/2018 10:06,9423.60,9425.00,9417.60,9418.85,66,9422.725,0,20
53,7/23/2018 10:07,9419.05,9423.15,9416.35,9421.15,267,9419.785,0,29
54,7/23/2018 10:08,9420.25,9425.05,9419.90,9425.05,147,9422.005,0,20
55,7/23/2018 10:09,9424.25,9430.05,9423.90,9430.05,285,9428.105,0,31
56,7/23/2018 10:10,9430.25,9438.05,9429.45,9433.35,270,9431.085,0,37
57,7/23/2018 10:11,9433.55,9437.50,9426.90,9428.90,262,9432.25,0,32
58,7/23/2018 10:12,9431.35,9432.25,9426.90,9428.05,258,9428.01,0,26
59,7/23/2018 10:13,9429.10,9434.05,9427.95,9433.80,87,9432.375,0,29
60,7/23/2018 10:14,9428.85,9435.50,9428.45,9433.90,97,9432.675,0,23
61,7/23/2018 10:15,9432.70,9435.05,9427.95,9428.10,94,9432.37,0,28
62,7/23/2018 10:16,9429.35,9432.50,9427.85,9429.20,128,9430.155,0,29
63,7/23/2018 10:17,9429.40,9433.90,9426.90,9433.90,125,9432.155,0,28
64,7/23/2018 10:18,9434.25,9435.05,9430.30,9435.05,105,9434.155,0,19
65,7/23/2018 10:19,9435.25,9435.05,9425.20,9425.40,86,9431.395,0,17
66,7/23/2018 10:20,9426.15,9430.00,9425.70,9428.55,175,9427.135,0,20
67,7/23/2018 10:21,9428.70,9428.50,9415.80,9420.05,120,9419.16,0,25
68,7/23/2018 10:22,9420.25,9420.05,9411.90,9413.25,119,9414.705,0,27
69,7/23/2018 10:23,9414.25,9421.50,9413.90,9419.40,109,9419.01,0,23
70,7/23/2018 10:24,9419.60,9419.40,9414.90,9416.95,158,9416.205,0,23
71,7/23/2018 10:25,9417.15,9420.05,9409.90,9412.35,292,9415.03,0,23
72,7/23/2018 10:26,9412.80,9412.65,9401.90,9405.05,271,9407.82,0,36
73,7/23/2018 10:27,9405.60,9413.00,9405.20,9412.95,84,9410.58,0,24
74,7/23/2018 10:28,9413.15,9419.05,9412.80,9418.10,139,9416.525,0,28
75,7/23/2018 10:29,9419.25,9420.05,9418.55,9419.60,131,9419.435,0,19
76,7/23/2018 10:30,9420.10,9420.05,9418.40,9419.85,166,9419.575,0,23
77,7/23/2018 10:31,9420.25,9425.05,9419.90,9422.20,169,9422.91,0,20
78,7/23/2018 10:32,9422.25,9425.05,9421.90,9425.00,84,9424.565,0,17
79,7/23/2018 10:33,9424.70,9425.00,9418.90,9424.95,213,9424.095,0,21
80,7/23/2018 10:34,9425.15,9425.00,9420.55,9422.85,106,9423.075,0,19
81,7/23/2018 10:35,9421.95,9424.05,9417.45,9423.90,136,9422.77,0,21
82,7/23/2018 10:36,9422.85,9424.05,9417.65,9420.95,125,9422.65,0,20
83,7/23/2018 10:37,9421.30,9423.05,9420.90,9423.05,82,9422.19,0,18
84,7/23/2018 10:38,9423.25,9423.85,9420.80,9420.95,94,9422.995,0,17
85,7/23/2018 10:39,9423.30,9430.00,9422.95,9430.00,241,9428.15,0,26
86,7/23/2018 10:40,9429.60,9429.40,9417.45,9425.00,92,9422.485,0,18
87,7/23/2018 10:41,9424.30,9424.90,9406.95,9410.45,112,9413.685,0,38
88,7/23/2018 10:42,9411.70,9412.05,9407.95,9409.05,112,9411.38,0,34
89,7/23/2018 10:43,9410.30,9412.05,9409.95,9411.35,117,9411.195,0,33
90,7/23/2018 10:44,9411.65,9417.75,9411.20,9413.95,92,9414.04,0,37
91,7/23/2018 10:45,9414.75,9415.05,9412.90,9414.05,104,9413.885,0,34
92,7/23/2018 10:46,9414.25,9415.05,9410.05,9410.70,118,9413.375,0,40
93,7/23/2018 10:47,9410.95,9420.80,9410.60,9415.05,69,9416.545,0,30
94,7/23/2018 10:48,9415.25,9418.40,9410.90,9411.50,67,9415.05,0,27
95,7/23/2018 10:49,9411.70,9416.10,9411.35,9414.35,102,9413.735,0,32
96,7/23/2018 10:50,9417.90,9425.00,9414.60,9419.35,187,9419.21,0,44
97,7/23/2018 10:51,9419.05,9420.35,9414.95,9416.15,67,9417.24,0,27
98,7/23/2018 10:52,9420.25,9422.05,9412.70,9419.35,201,9418.93,0,45
99,7/23/2018 10:53,9420.80,9420.60,9414.20,9418.40,99,9416.935,0,26
100,7/23/2018 10:54,9418.65,9422.00,9414.40,9414.55,153,9417.795,0,40
101,7/23/2018 10:55,9414.75,9418.75,9410.45,9415.30,141,9413.455,0,37
102,7/23/2018 10:56,9416.45,9418.50,9411.05,9412.55,99,9416.515,0,33
103,7/23/2018 10:57,9412.75,9420.35,9410.95,9416.75,117,9415.42,0,29
104,7/23/2018 10:58,9417.15,9422.00,9413.05,9413.20,94,9419.065,0,33
105,7/23/2018 10:59,9413.40,9420.75,9411.55,9419.40,100,9415.19,0,36
106,7/23/2018 11:00,9417.15,9419.85,9414.90,9417.55,94,9416.27,0,31
107,7/23/2018 11:01,9417.75,9417.60,9410.95,9411.20,382,9413.195,0,39
108,7/23/2018 11:02,9412.90,9414.50,9410.95,9412.05,205,9412.99,0,38
109,7/23/2018 11:03,9412.25,9414.85,9410.90,9411.10,447,9411.4,0,42
110,7/23/2018 11:04,9414.25,9418.05,9410.95,9416.65,160,9415.265,0,43
111,7/23/2018 11:05,9416.85,9418.05,9410.95,9411.75,106,9413.985,0,35
112,7/23/2018 11:06,9411.95,9415.10,9410.95,9413.05,101,9412.515,0,39
113,7/23/2018 11:07,9414.35,9420.05,9411.95,9413.60,102,9415.26,0,43
114,7/23/2018 11:08,9414.30,9420.60,9412.85,9418.05,97,9418.495,0,37
115,7/23/2018 11:09,9419.25,9420.05,9413.10,9413.25,238,9416.92,0,41
116,7/23/2018 11:10,9412.40,9413.25,9399.95,9402.80,194,9405.08,0,52
117,7/23/2018 11:11,9401.20,9407.60,9400.05,9400.65,264,9403.34,0,50
118,7/23/2018 11:12,9400.95,9409.05,9400.45,9405.75,199,9404.56,0,51
119,7/23/2018 11:13,9407.05,9407.00,9402.55,9404.65,95,9404.835,0,42
120,7/23/2018 11:14,9403.75,9407.05,9403.40,9406.55,86,9405.83,0,31
121,7/23/2018 11:15,9407.25,9412.90,9403.40,9405.70,171,9407.64,0,48
122,7/23/2018 11:16,9405.90,9410.75,9404.95,9410.75,181,9406.665,0,42
123,7/23/2018 11:17,9414.95,9417.40,9410.95,9415.55,163,9415.93,0,33
124,7/23/2018 11:18,9415.65,9415.55,9404.20,9414.05,137,9409.03,0,45
125,7/23/2018 11:19,9409.40,9415.05,9408.45,9414.15,101,9411.81,0,33
126,7/23/2018 11:20,9415.10,9419.05,9413.95,9415.05,115,9416.935,0,33
127,7/23/2018 11:21,9417.75,9422.05,9415.90,9416.05,158,9417.82,0,36
128,7/23/2018 11:22,9418.25,9419.25,9409.90,9412.05,106,9415.02,0,34
129,7/23/2018 11:23,9412.55,9418.00,9411.70,9417.50,140,9416.72,0,35
130,7/23/2018 11:24,9417.65,9417.50,9412.70,9415.05,78,9416.33,0,29
131,7/23/2018 11:25,9414.95,9415.50,9412.45,9413.35,121,9413.65,0,34
132,7/23/2018 11:26,9413.55,9414.40,9409.90,9413.40,112,9411.13,0,35
133,7/23/2018 11:27,9414.60,9415.05,9413.80,9414.95,104,9414.665,0,29
134,7/23/2018 11:28,9415.15,9415.05,9413.95,9414.95,96,9414.56,0,27
135,7/23/2018 11:29,9414.80,9416.05,9412.95,9413.65,103,9414.365,0,38
136,7/23/2018 11:30,9412.60,9419.60,9411.40,9413.60,154,9415.86,0,36
137,7/23/2018 11:31,9413.90,9419.50,9410.95,9416.85,182,9414.765,0,33
138,7/23/2018 11:32,9413.70,9419.55,9411.45,9418.25,105,9415.105,0,38
139,7/23/2018 11:33,9418.30,9420.05,9413.30,9416.95,180,9417.435,0,32
140,7/23/2018 11:34,9417.25,9420.05,9411.90,9417.05,156,9417.38,0,38
141,7/23/2018 11:35,9417.25,9420.05,9413.20,9414.55,182,9415.185,0,38
142,7/23/2018 11:36,9413.10,9415.05,9410.35,9410.50,132,9412.065,0,36
143,7/23/2018 11:37,9410.70,9420.05,9409.90,9419.00,197,9411.695,0,42
144,7/23/2018 11:38,9419.75,9419.55,9410.70,9413.05,115,9413.05,0,40
145,7/23/2018 11:39,9414.30,9419.50,9413.10,9415.05,104,9416.475,0,24
146,7/23/2018 11:40,9416.35,9419.75,9415.45,9419.00,126,9418.465,0,38
147,7/23/2018 11:41,9417.75,9420.05,9417.40,9420.00,155,9419.575,0,39
148,7/23/2018 11:42,9420.25,9420.50,9417.20,9418.55,114,9419.455,0,41
149,7/23/2018 11:43,9418.75,9421.00,9417.20,9418.60,326,9419.795,0,48
150,7/23/2018 11:44,9417.40,9417.25,9409.90,9411.05,240,9411.88,0,39
151,7/23/2018 11:45,9412.05,9416.05,9408.90,9410.85,109,9411.285,0,28
152,7/23/2018 11:46,9411.25,9415.05,9410.40,9410.55,94,9411.005,0,28
153,7/23/2018 11:47,9411.55,9419.00,9410.40,9412.60,97,9415.325,0,35
154,7/23/2018 11:48,9413.05,9416.00,9410.40,9411.75,144,9412.315,0,36
155,7/23/2018 11:49,9411.95,9420.00,9411.60,9413.60,51,9416.71,0,31
156,7/23/2018 11:50,9413.85,9419.00,9413.45,9418.95,40,9418.235,0,26
157,7/23/2018 11:51,9419.25,9420.05,9418.70,9419.90,107,9419.25,0,38
158,7/23/2018 11:52,9420.25,9420.05,9415.45,9415.65,168,9419.8,0,31
159,7/23/2018 11:53,9416.75,9420.05,9411.60,9417.00,375,9415.01,0,38
160,7/23/2018 11:54,9418.05,9424.05,9409.90,9412.80,238,9413.605,0,49
161,7/23/2018 11:55,9413.00,9419.85,9412.65,9417.30,51,9417.155,0,31
162,7/23/2018 11:56,9418.50,9419.05,9415.45,9416.20,112,9417.79,0,32
163,7/23/2018 11:57,9418.20,9419.65,9415.15,9418.15,81,9418.285,0,30
164,7/23/2018 11:58,9418.35,9422.00,9417.95,9420.00,187,9419.785,0,46
165,7/23/2018 11:59,9420.20,9420.85,9411.90,9412.75,216,9418.405,0,39
166,7/23/2018 12:00,9412.25,9417.00,9411.60,9416.55,189,9413.235,0,30
167,7/23/2018 12:01,9419.25,9419.05,9410.95,9411.10,101,9415.735,0,38
168,7/23/2018 12:02,9411.30,9418.05,9410.95,9416.15,59,9416.03,0,29
169,7/23/2018 12:03,9416.35,9419.00,9415.10,9418.00,214,9417.67,0,28
170,7/23/2018 12:04,9417.25,9420.05,9416.90,9418.85,118,9418.97,0,30
171,7/23/2018 12:05,9420.20,9420.05,9413.10,9413.70,210,9419.275,0,41
172,7/23/2018 12:06,9417.25,9420.05,9413.60,9417.45,112,9417.665,0,31
173,7/23/2018 12:07,9417.65,9421.75,9417.30,9421.30,187,9420.115,0,35
174,7/23/2018 12:08,9417.50,9424.05,9413.70,9417.95,149,9417.525,0,42
175,7/23/2018 12:09,9420.25,9422.50,9418.10,9418.35,173,9419.585,0,34
176,7/23/2018 12:10,9418.65,9425.05,9418.30,9420.00,465,9420.665,0,47
177,7/23/2018 12:11,9420.20,9425.05,9417.95,9421.05,199,9420.585,0,37
178,7/23/2018 12:12,9421.25,9421.05,9411.90,9418.35,173,9416.915,0,40
179,7/23/2018 12:13,9418.55,9420.05,9411.95,9418.85,188,9418.12,0,37
180,7/23/2018 12:14,9419.05,9421.05,9412.90,9418.85,111,9419.025,0,35
181,7/23/2018 12:15,9419.60,9420.05,9414.95,9419.75,144,9419.46,0,33
182,7/23/2018 12:16,9419.95,9421.05,9412.40,9414.35,139,9417.11,0,38
183,7/23/2018 12:17,9415.65,9419.00,9411.90,9416.05,158,9414.205,0,31
184,7/23/2018 12:18,9418.30,9418.15,9415.30,9415.45,80,9417.685,0,27
185,7/23/2018 12:19,9416.30,9419.00,9415.95,9418.75,93,9418.03,0,25
186,7/23/2018 12:20,9415.65,9419.00,9411.95,9412.10,114,9415.28,0,34
187,7/23/2018 12:21,9412.35,9417.60,9411.90,9414.70,86,9414.63,0,32
188,7/23/2018 12:22,9417.10,9418.05,9411.95,9414.75,120,9415.47,0,30
